spørsmål,svar,kommunenavn
Hva er datoen for vedtaket av Kommunedelplan for sentrum av bystyret?,26.8.2021.,Kristiansund
Hvor kan man finne felles bestemmelser i dokumentet om Kristiansund?,Man kan finne felles bestemmelser på side 3 i dokumentet.,Kristiansund
Hva er hovedtemaet for avsnitt 3.6 i dokumentet?,Hovedtemaet for avsnitt 3.6 er offentlige områder.,Kristiansund
Hva er emnet for kapittel 4 i dokumentet fra Kristiansund?,Bebyggelse og anlegg.,Kristiansund
Hva er formålet med hensynssonene i dokumentet om regulering av bygg i Kristiansund?,"Formålet med hensynssonene er å regulere ulike typer bebyggelse og anlegg i området, slik at det tas hensyn til spesifikke hensyn og kvaliteter ved området.",Kristiansund
Hva er de to hovedpunktene som blir diskutert under avsnitt 5 i dokumentet?,Veier og parkering samt havn.,Kristiansund
Hva er målet med parkerings- og trafikksituasjonen i Kristiansund ifølge dokumentet?,"Målet er at parkerings- og trafikksituasjonen skal oppfattes som god av beboere, besøkende og næringsdrivende.",Kristiansund
Hva er noen av hensynene som må tas ved nye utbyggingstiltak og endringer i den etablerte bygg- og bystruktur i Kristiansund?,"Gjenreisningsarkitekturens formuttrykk, god framkommelighet og trygghet for alle grupper, samt et mangfold av kulturaktiviteter for å gi besøkende og beboere rike opplevelser.",Kristiansund
Hva er noen av hensynene som må tas ved nye utbyggingstiltak og endringer i den etablerte bygg- og bystruktur i henhold til gjenreisningsarkitekturens formuttrykk?,"Framkommelighet og trygghet for alle grupper, samt et mangfold av kulturaktiviteter for å gi besøkende og beboere rike opplevelser.",Kristiansund
Hva er målet med utviklingen av bysentrum i Kristiansund ifølge konteksten?,"Målet er å utvikle bysentrum til en regional attraktiv, tett og urban bolig-, handels- og kulturby med gode bymessige kvaliteter.",Kristiansund
Hva er noen av målene for utviklingen av sentrum i Kristiansund ifølge konteksten?,"Noen av målene for utviklingen av sentrum i Kristiansund er å innpasse det nye opera- og kulturhuset i bylivet, ønske flere boligprosjekter der barns bomiljø er ivaretatt, forsterke vedlikeholdet av sentrale gater og byrom, samt stimulere til flere arbeids- og skoleplasser i sentrum.",Kristiansund
Hva er formålet med å tilrettelegge nye attraktive bolig- og næringsarealer i henhold til den gitte konteksten?,"Formålet er å tilrettelegge nye attraktive bolig- og næringsarealer i tilstrekkelig omfang, samtidig som eksisterende bebyggelse omformes etter nye behov.",Kristiansund
"Hvilken hjemmel kreves for å gjennomføre nye tiltak etter § 20-1 bokstav a, k og l?","Hjemmel i reguleringsplan, i henhold til § 11-9 nr. 1.",Kristiansund
Hva kreves det at parkeringsplanen skal redegjøre for ved søknad om tiltak?,Parkering for biler og sykler for bebyggelsens behov.,Kristiansund
Hva er viktig å ta hensyn til når man utformer en parkeringsplan i henhold til kontekstinformasjonen?,"Eventuelle stedlige forhold som har betydning for den valgte løsningen, inkludert sikker hente- og bringe-løsning etter bebyggelsens behov. Retningslinjer om utforming av parkering er grunnlag for vurdering av parkeringsplanen.",Kristiansund
Hva er viktig å ta hensyn til ved plassering og utforming av sykkelparkering ifølge informasjonen gitt?,"Sykkelparkering skal ha en plassering og utforming som gir rask og enkel tilkomst til målpunktet, samtidig som den ikke skal være til hinder for fotgjengere. Der parkeringsplasser for sykkel benyttes over lengre tidsrom, bør de utformes med ly for nedbør og vind, samt begrense sykkeltyveri.",Kristiansund
Hvilke typer virksomheter er nevnt i dokumentet som potensielle kjøpere av en bolig?,"Forretning, handel, kontor, industri/verksted, lager/engros, restaurant/pub/kafé, treningssenter, fysioterapilokaler eller behandlingslokaler, hotell, bensinstasjon (betjente), gatekjøkken, sykehjem, barnehage/barnepark, skoler (grunn- og videregående), forsamlingslokale (kino/teater, kirke).",Kristiansund
Hva er forholdet mellom egenparkering og gjesteparkering når det gjelder krav til boligparkering basert på informasjonen gitt?,Av krav til boligparkering regnes 80 % som egenparkering og 20 % som gjesteparkering.,Kristiansund
